uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10016975	25	12676667	839	549	-17188	12660907	317	839	12676667	839	558346	50	83015	1117754	705392	-758	25	7606	-17188	618223	good
10016976	30	17885011	304	772	-9478	17846644	537	304	17885000	304	787037	60	84054	1561688	698546	-418	30	10731	-9478	610802	good
10016977	30	12811000	307	596	0	12718417	383	307	12810900	307	610484	60	96394	1364908	852335	0	30	1152981	0	749812	good
10017008	28	17069000	309	796	0	16983479	477	309	17069044	309	815207	56	96305	1717290	804869	0	28	1536214	0	703918	bad
10017015	30	17024000	310	798	0	17157375	503	310	16933967	310	823554	59	154951	1926401	905263	0	30	1524057	0	747608	good
10017025	30	17024000	312	798	0	17023937	503	312	16895733	312	817149	60	156163	1910885	897972	0	30	1520616	0	741956	bad
10017062	30	17041000	1028	797	0	17002667	514	1028	17054478	1028	816128	60	96000	1807859	848710	0	30	1534903	0	748169	bad
10017094	30	16172999	314	756	0	16128000	481	314	16176411	314	774144	59	96228	1698868	840347	0	30	1455877	0	738819	bad
10017124	25	17995011	647	777	-17483	17908322	450	647	17995000	647	789757	50	85382	1570692	698278	-771	25	10797	-17483	609275	good
10017129	29	16149000	322	757	0	16149332	470	322	16106521	322	775168	58	128093	1743352	863633	0	29	1449587	0	734219	good
10017131	30	17618707	313	763	-5238	17618707	529	313	17618333	313	776985	60	87206	1544272	701196	-231	30	10571	-5238	609995	good
10017145	30	17024000	313	798	0	17062396	510	313	16994344	313	818995	60	127836	1876253	881697	0	30	1529491	0	751753	bad
10017149	25	17024000	324	798	0	17031792	423	324	16940611	324	817526	50	128157	1607505	755406	0	25	1524655	0	627194	good
10017177	25	15178912	1450	657	-6916	15178912	379	1450	15158333	1450	669390	50	86241	1341687	707132	-305	25	9095	-6916	617783	good
10017181	30	17951678	325	777	-8026	17894535	539	325	17951667	325	789149	60	88279	1597637	711972	-354	30	10771	-8026	619751	good
10017185	30	14100000	520	658	0	14104771	423	520	14099911	520	677029	60	95907	1553832	881606	0	30	1268992	0	779464	good
10017191	30	17024000	236	798	0	17024000	510	236	17021589	236	817152	60	96000	1792552	842364	0	30	1531943	0	741328	bad
10017220	30	15433000	314	718	0	15386521	463	314	15432878	314	738553	60	95849	1640686	850481	0	30	1388959	0	749255	bad
10017230	90000	14464000	902	678	0	14463938	103	902	13882611	902	694269	15	96309	1481966	819671	0	7	1249435	0	737251	good
10017235	30	17885011	337	773	-6122	17850023	537	337	17885000	337	787186	60	81321	1582137	707692	-270	30	10731	-6122	622581	good
10017241	15	13952000	720	654	0	13952000	207	720	13958344	720	669696	30	96282	1466432	840844	0	15	1256251	0	738023	good
10017285	30	16920000	857	731	-16372	16900975	508	857	16920000	857	745333	60	79824	1470996	695506	-722	30	10152	-16372	611882	good
10017303	25	17306667	1101	747	0	17291270	433	1101	17306667	1101	762545	50	63076	1478477	683425	689	25	10384	15624	616730	good
10017304	60	16448000	1113	771	0	16448000	327	1113	16367788	1113	789504	40	128142	1295062	629893	0	20	1473101	0	501173	good
10017308	30	13097000	322	611	0	13034667	393	322	13119378	322	625664	60	256032	1649248	1007405	0	30	1180744	0	746276	good
10017320	30	13388345	324	579	-21791	13352902	402	324	13388333	324	588863	60	86906	1225424	732233	-961	30	8033	-21791	641227	good
10017325	29	17024000	316	798	0	17024000	496	316	16973433	316	817152	58	128204	1839630	864487	0	29	1527609	0	735251	good
10017346	30	13190000	354	571	-19093	13169841	396	354	13190000	354	580790	60	86504	1214472	736601	-842	30	7914	-19093	645894	good
10017373	25	12221678	1620	528	0	12221678	305	1620	12198333	1620	538976	50	84790	1104726	723125	1376	25	7319	31202	635581	good
10017374	10	17024000	405	798	0	17046604	170	405	17008067	405	818237	20	127867	817483	384155	0	10	1530726	0	253739	good
10017383	20	14442000	648	677	0	14442667	282	648	14450400	648	693248	39	96003	1496749	829108	0	20	1300536	0	726686	bad
10017388	30	17385011	133	750	-20340	17344989	522	133	17385000	133	764914	60	79479	1551370	713888	-897	30	10431	-20340	630736	good
10017395	25	13013000	320	610	0	13030083	325	320	12991444	320	625444	50	127911	1236345	760067	0	25	1169230	0	629495	bad
10017400	30	17064000	547	795	0	16996688	516	547	17063633	547	815841	60	95805	1823694	854990	0	30	1535727	0	754506	bad
10017435	15	16832000	323	789	0	16832000	250	323	16828989	323	807936	30	128148	1842136	875539	0	15	1514609	0	742188	good
10017444	30	17551678	902	759	-8026	17546259	527	902	17551667	902	773790	60	82867	1578028	719260	-354	30	10531	-8026	632528	bad
10017493	60	13419000	914	629	0	13418667	268	914	13429211	914	644096	40	96267	1420066	846600	0	20	1208629	0	743320	good
10017516	30	16908345	326	731	-14467	16889660	507	326	16908333	326	744834	60	62971	1470059	695542	-638	30	10145	-14467	628827	good
10017520	30	16981000	256	796	0	16981917	509	256	16966544	256	815132	60	127995	1863314	877834	0	30	1526989	0	745119	bad
10017526	30	13588345	421	588	-15805	13567846	408	421	13588333	421	598342	60	83173	1199466	706173	-697	30	8153	-15805	618870	good
10017539	25	17875011	323	772	-23016	17833129	447	323	17875000	323	786441	50	84705	1590974	712043	-1015	25	10725	-23016	623692	good
10017547	14	16425999	544	770	0	16426666	226	544	16334800	544	788480	28	96000	1696614	826306	0	14	1470132	0	729081	good
10017560	11	17024000	1153	798	0	17024000	188	1153	16969711	1153	817152	22	128060	877436	412328	0	11	1527274	0	282504	bad
10017575	90000	13525000	530	634	0	13525333	217	530	13479300	530	649216	32	128100	912641	539824	0	16	1213137	0	410093	good
10017593	29	17024000	614	798	0	17024000	242	614	17092656	614	817152	28	128039	1871437	879434	0	14	1538339	0	743123	bad
10017613	30	12790000	436	553	-2222	12768730	384	436	12790000	436	563101	60	85292	1179534	737785	-98	30	7674	-2222	648382	good
10017622	60	14699000	327	689	0	14698667	293	327	14707067	327	705536	40	96192	1562884	850606	0	20	1323636	0	748118	good
